sport,event,year,athlete_id,country_id,medal
Swimming,Swimming Women's 200 metres Butterfly,2016-01-01,7810,8,
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,7810,8,
Swimming,Swimming Women's 400 metres Individual Medley,2016-01-01,7810,8,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,7952,189,
Track and Field,Women's Discus Throw,2016-01-01,7989,93,
Track and Field,Men's 400 metres Hurdles,2016-01-01,8036,90,
Swimming,Swimming Women's 200 metres Freestyle,2016-01-01,8051,11,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,8051,11,Silver
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,8114,26,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,8114,26,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,8114,26,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,8114,26,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,8114,26,
Gymnastics,Gymnastics Men's Rings,2016-01-01,8114,26,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,8114,26,
Track and Field,"Women's 1,500 metres",2016-01-01,8128,195,Bronze
Track and Field,Men's 20 kilometres Walk,2016-01-01,8152,77,
Track and Field,Men's High Jump,2016-01-01,8198,14,
Track and Field,Men's High Jump,2016-01-01,8204,149,Silver
Track and Field,Men's 110 metres Hurdles,2016-01-01,8417,67,Bronze
Track and Field,Women's 200 metres,2016-01-01,8475,69,
Track and Field,Men's Marathon,2016-01-01,8526,123,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,8606,123,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,8661,167,
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,8750,34,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,8751,179,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,8751,179,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,8751,179,
Gymnastics,Gymnastics Men's Rings,2016-01-01,8751,179,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,8751,179,
Track and Field,Women's 400 metres Hurdles,2016-01-01,8764,71,
Track and Field,Women's Marathon,2016-01-01,8775,53,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,8785,146,
Swimming,Swimming Women's 100 metres Backstroke,2016-01-01,8803,52,
Swimming,Swimming Women's 200 metres Backstroke,2016-01-01,8803,52,
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,8803,52,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,8803,52,
Track and Field,Women's Marathon,2016-01-01,8877,123,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,8878,123,
Swimming,Swimming Men's 100 metres Backstroke,2016-01-01,8945,97,
Track and Field,Women's 100 metres,2016-01-01,8979,147,
Track and Field,Women's 200 metres,2016-01-01,8979,147,
Swimming,Swimming Men's 100 metres Backstroke,2016-01-01,9099,11,
Swimming,Swimming Men's 200 metres Backstroke,2016-01-01,9099,11,
Swimming,Swimming Women's 800 metres Freestyle,2016-01-01,9176,71,
Track and Field,Women's 100 metres Hurdles,2016-01-01,9244,17,
Track and Field,Men's 800 metres,2016-01-01,9285,46,
Track and Field,Men's High Jump,2016-01-01,9310,146,
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,9392,90,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,9392,90,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,9392,90,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,9392,90,
Gymnastics,Gymnastics Men's Rings,2016-01-01,9392,90,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,9392,90,
Swimming,Swimming Women's 400 metres Individual Medley,2016-01-01,9460,195,
Track and Field,Women's High Jump,2016-01-01,9464,173,Gold
Track and Field,Men's Marathon,2016-01-01,9486,15,
Track and Field,Women's Long Jump,2016-01-01,9497,193,
Gymnastics,Gymnastics Women's Horse Vault,2016-01-01,9537,167,
Track and Field,Women's 400 metres Hurdles,2016-01-01,9549,18,
Track and Field,"Women's 5,000 metres",2016-01-01,9582,15,
Track and Field,Women's 20 kilometres Walk,2016-01-01,9583,63,
Track and Field,Men's 800 metres,2016-01-01,9589,3,
Track and Field,Women's 200 metres,2016-01-01,9603,74,
Track and Field,Women's 400 metres Hurdles,2016-01-01,9677,17,
Track and Field,Women's 400 metres Hurdles,2016-01-01,9692,187,
Track and Field,Women's Marathon,2016-01-01,9749,50,
Swimming,Swimming Women's 400 metres Freestyle,2016-01-01,9750,173,
Swimming,Swimming Women's 800 metres Freestyle,2016-01-01,9750,173,
Swimming,Swimming Women's 200 metres Butterfly,2016-01-01,9750,173,Gold
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,9750,173,
Swimming,Swimming Women's 400 metres Individual Medley,2016-01-01,9750,173,Bronze
Track and Field,Men's 110 metres Hurdles,2016-01-01,9753,67,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,9773,92,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,9773,92,
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,9829,152,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,9829,152,Silver
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,9829,152,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,9829,152,Bronze
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,9829,152,
Gymnastics,Gymnastics Men's Rings,2016-01-01,9829,152,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,9829,152,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,9931,188,
Track and Field,Men's Triple Jump,2016-01-01,9953,195,
Track and Field,Men's 800 metres,2016-01-01,10017,92,
Track and Field,Women's Pole Vault,2016-01-01,10059,178,
